trigger_name,event_object_table,event_manipulation,action_timing,action_statement
on_claim_delete_refresh_stats,claims,DELETE,AFTER,EXECUTE FUNCTION trigger_refresh_stats_on_claim_delete()
trigger_cleanup_reminder_on_purchase,claims,UPDATE,AFTER,EXECUTE FUNCTION cleanup_reminder_on_purchase()
trigger_notify_new_claim,claims,INSERT,AFTER,EXECUTE FUNCTION notify_new_claim()
trigger_notify_unclaim,claims,DELETE,AFTER,EXECUTE FUNCTION notify_unclaim()
trigger_update_event_member_stats_on_claim,claims,UPDATE,AFTER,EXECUTE FUNCTION update_event_member_stats_on_claim_change()
trigger_update_event_member_stats_on_claim,claims,DELETE,AFTER,EXECUTE FUNCTION update_event_member_stats_on_claim_change()
trigger_update_event_member_stats_on_claim,claims,INSERT,AFTER,EXECUTE FUNCTION update_event_member_stats_on_claim_change()
trigger_initialize_event_member_stats,event_members,INSERT,AFTER,EXECUTE FUNCTION initialize_event_member_stats()
trigger_mark_orphaned_lists,event_members,DELETE,AFTER,EXECUTE FUNCTION mark_orphaned_lists_for_deletion()
trigger_unmark_orphaned_lists,event_members,INSERT,AFTER,EXECUTE FUNCTION unmark_orphaned_lists_on_member_join()
trg_autojoin_event,events,INSERT,AFTER,EXECUTE FUNCTION autojoin_event_as_admin()
trg_ensure_event_owner_member,events,INSERT,AFTER,EXECUTE FUNCTION ensure_event_owner_member()
on_item_delete_refresh_stats,items,DELETE,AFTER,EXECUTE FUNCTION trigger_refresh_stats_on_item_delete()
trigger_notify_new_item,items,INSERT,AFTER,EXECUTE FUNCTION notify_new_item()
trigger_update_event_member_stats_on_recipient,list_recipients,DELETE,AFTER,EXECUTE FUNCTION update_event_member_stats_on_recipient_change()
trigger_update_event_member_stats_on_recipient,list_recipients,INSERT,AFTER,EXECUTE FUNCTION update_event_member_stats_on_recipient_change()
trigger_update_event_member_stats_on_recipient,list_recipients,UPDATE,AFTER,EXECUTE FUNCTION update_event_member_stats_on_recipient_change()
on_list_delete_refresh_stats,lists,DELETE,BEFORE,EXECUTE FUNCTION trigger_refresh_stats_on_list_delete()
trg_set_list_created_by,lists,INSERT,BEFORE,EXECUTE FUNCTION set_list_created_by()
trigger_notify_new_list,lists,INSERT,AFTER,EXECUTE FUNCTION notify_new_list()
trigger_update_event_member_stats_on_list_event,lists,UPDATE,AFTER,EXECUTE FUNCTION update_event_member_stats_on_list_event_change()
link_invites_on_profile_insert,profiles,INSERT,AFTER,EXECUTE FUNCTION update_invites_on_user_signup()
trigger_link_recipients_on_signup,profiles,INSERT,AFTER,EXECUTE FUNCTION link_list_recipients_on_signup()
trigger_update_invites_on_signup,profiles,INSERT,AFTER,EXECUTE FUNCTION update_invites_on_user_signup()
set_timestamp,user_plans,UPDATE,BEFORE,EXECUTE FUNCTION tg_set_timestamp()