schemaname,tablename,total_size,table_size,indexes_size
public,claims,176 kB,8192 bytes,128 kB
public,event_invites,168 kB,8192 bytes,120 kB
public,lists,160 kB,8192 bytes,112 kB
public,list_recipients,144 kB,8192 bytes,96 kB
public,items,136 kB,16 kB,80 kB
public,event_members,120 kB,8192 bytes,80 kB
public,events,112 kB,8192 bytes,64 kB
public,profiles,96 kB,8192 bytes,48 kB
public,notification_queue,96 kB,16 kB,48 kB
public,event_member_stats,88 kB,8192 bytes,80 kB
public,sent_reminders,88 kB,8192 bytes,80 kB
public,claim_split_requests,80 kB,8192 bytes,64 kB
public,orphaned_lists,72 kB,8192 bytes,64 kB
public,push_tokens,64 kB,8192 bytes,48 kB
public,list_exclusions,56 kB,8192 bytes,48 kB
public,rate_limit_tracking,48 kB,8192 bytes,32 kB
public,security_audit_log,40 kB,0 bytes,32 kB
public,user_plans,32 kB,8192 bytes,16 kB
public,list_viewers,32 kB,8192 bytes,24 kB
public,daily_activity_log,32 kB,0 bytes,24 kB